bound,stop_up,stop_down,predictions_1, predictions_-1, count
1.0,4.9,9.8,0.726, 0.274, 339
1.0,4.9,4.9,0.554, 0.446, 673
1.0,4.9,2.45,0.383, 0.617, 1215
1.5,0.5,1.0,0.657, 0.343, 5676
1.5,0.5,0.5,0.523, 0.477, 5742
1.5,0.5,0.25,0.415, 0.585, 5741
1.5,0.7,1.4,0.672, 0.328, 5465
1.5,0.7,0.7,0.523, 0.477, 5706
1.5,0.7,0.35,0.396, 0.604, 5736
1.5,0.9,1.8,0.668, 0.332, 4955
1.5,0.9,0.9,0.52, 0.48, 5670
1.5,0.9,0.45,0.385, 0.615, 5679
1.5,1.1,2.2,0.677, 0.323, 4239
1.5,1.1,1.1,0.523, 0.477, 5613
1.5,1.1,0.55,0.375, 0.625, 5681
1.5,1.3,2.6,0.676, 0.324, 3544
1.5,1.3,1.3,0.527, 0.473, 5339
1.5,1.3,0.65,0.372, 0.628, 5605
1.5,1.5,3.0,0.674, 0.326, 2914
1.5,1.5,1.5,0.52, 0.48, 4891
1.5,1.5,0.75,0.363, 0.637, 5418
1.5,1.7,3.4,0.681, 0.319, 2398
1.5,1.7,1.7,0.522, 0.478, 4296
1.5,1.7,0.85,0.363, 0.637, 5122
1.5,1.9,3.8,0.688, 0.312, 1944
1.5,1.9,1.9,0.524, 0.476, 3592
1.5,1.9,0.95,0.373, 0.627, 4737
1.5,2.1,4.2,0.69, 0.31, 1598
1.5,2.1,2.1,0.532, 0.468, 3014
1.5,2.1,1.05,0.374, 0.626, 4317
1.5,2.3,4.6,0.692, 0.308, 1404
1.5,2.3,2.3,0.535, 0.465, 2587
1.5,2.3,1.15,0.373, 0.627, 3895
1.5,2.5,5.0,0.698, 0.302, 1211
1.5,2.5,2.5,0.533, 0.467, 2248
1.5,2.5,1.25,0.38, 0.62, 3604
1.5,2.7,5.4,0.696, 0.304, 1083
1.5,2.7,2.7,0.536, 0.464, 1983
1.5,2.7,1.35,0.376, 0.624, 3236
1.5,2.9,5.8,0.702, 0.298, 909
1.5,2.9,2.9,0.538, 0.462, 1735
1.5,2.9,1.45,0.381, 0.619, 2946
1.5,3.1,6.2,0.705, 0.295, 804
1.5,3.1,3.1,0.54, 0.46, 1466
1.5,3.1,1.55,0.376, 0.624, 2711
1.5,3.3,6.6,0.703, 0.297, 717
1.5,3.3,3.3,0.543, 0.457, 1343
1.5,3.3,1.65,0.379, 0.621, 2414
1.5,3.5,7.0,0.706, 0.294, 623
1.5,3.5,3.5,0.542, 0.458, 1213
1.5,3.5,1.75,0.374, 0.626, 2258
1.5,3.7,7.4,0.706, 0.294, 575
1.5,3.7,3.7,0.545, 0.455, 1103
1.5,3.7,1.85,0.38, 0.62, 2028
1.5,3.9,7.8,0.71, 0.29, 531
1.5,3.9,3.9,0.543, 0.457, 1003
1.5,3.9,1.95,0.381, 0.619, 1845
1.5,4.1,8.2,0.714, 0.286, 462
1.5,4.1,4.1,0.547, 0.453, 901
1.5,4.1,2.05,0.379, 0.621, 1635
1.5,4.3,8.6,0.719, 0.281, 424
1.5,4.3,4.3,0.548, 0.452, 829
1.5,4.3,2.15,0.383, 0.617, 1523
1.5,4.5,9.0,0.724, 0.276, 387
1.5,4.5,4.5,0.552, 0.448, 770
1.5,4.5,2.25,0.384, 0.616, 1420
1.5,4.7,9.4,0.724, 0.276, 370
1.5,4.7,4.7,0.558, 0.442, 678
1.5,4.7,2.35,0.386, 0.614, 1297
1.5,4.9,9.8,0.726, 0.274, 339
1.5,4.9,4.9,0.555, 0.445, 669
1.5,4.9,2.45,0.384, 0.616, 1211
2.0,0.5,1.0,0.656, 0.344, 3403
2.0,0.5,0.5,0.515, 0.485, 3418
2.0,0.5,0.25,0.411, 0.589, 3421
2.0,0.7,1.4,0.675, 0.325, 3414
2.0,0.7,0.7,0.52, 0.48, 3421
2.0,0.7,0.35,0.389, 0.611, 3424
2.0,0.9,1.8,0.681, 0.319, 3243
2.0,0.9,0.9,0.51, 0.49, 3403
2.0,0.9,0.45,0.375, 0.625, 3413
2.0,1.1,2.2,0.684, 0.316, 3097
2.0,1.1,1.1,0.518, 0.482, 3396
2.0,1.1,0.55,0.371, 0.629, 3399
2.0,1.3,2.6,0.681, 0.319, 2777
2.0,1.3,1.3,0.522, 0.478, 3391
2.0,1.3,0.65,0.374, 0.626, 3394
2.0,1.5,3.0,0.678, 0.322, 2438
2.0,1.5,1.5,0.517, 0.483, 3346
2.0,1.5,0.75,0.371, 0.629, 3403
2.0,1.7,3.4,0.689, 0.311, 2153
2.0,1.7,1.7,0.528, 0.472, 3284
2.0,1.7,0.85,0.372, 0.628, 3367
2.0,1.9,3.8,0.693, 0.307, 1841
2.0,1.9,1.9,0.526, 0.474, 3093
2.0,1.9,0.95,0.368, 0.632, 3307
2.0,2.1,4.2,0.689, 0.311, 1568
2.0,2.1,2.1,0.528, 0.472, 2924
2.0,2.1,1.05,0.358, 0.642, 3227
2.0,2.3,4.6,0.693, 0.307, 1369
2.0,2.3,2.3,0.534, 0.466, 2544
2.0,2.3,1.15,0.364, 0.636, 3090
2.0,2.5,5.0,0.697, 0.303, 1205
2.0,2.5,2.5,0.534, 0.466, 2228
2.0,2.5,1.25,0.367, 0.633, 2846
2.0,2.7,5.4,0.697, 0.303, 1085
2.0,2.7,2.7,0.536, 0.464, 1974
2.0,2.7,1.35,0.367, 0.633, 2667
2.0,2.9,5.8,0.7, 0.3, 908
2.0,2.9,2.9,0.539, 0.461, 1730
2.0,2.9,1.45,0.371, 0.629, 2477
2.0,3.1,6.2,0.705, 0.295, 804
2.0,3.1,3.1,0.539, 0.461, 1474
2.0,3.1,1.55,0.373, 0.627, 2357
2.0,3.3,6.6,0.703, 0.297, 717
2.0,3.3,3.3,0.542, 0.458, 1350
2.0,3.3,1.65,0.377, 0.623, 2170
2.0,3.5,7.0,0.706, 0.294, 622
2.0,3.5,3.5,0.543, 0.457, 1214
2.0,3.5,1.75,0.372, 0.628, 2064
2.0,3.7,7.4,0.706, 0.294, 575
2.0,3.7,3.7,0.545, 0.455, 1102
2.0,3.7,1.85,0.375, 0.625, 1911
2.0,3.9,7.8,0.71, 0.29, 531
2.0,3.9,3.9,0.543, 0.457, 1005
2.0,3.9,1.95,0.382, 0.618, 1739
2.0,4.1,8.2,0.714, 0.286, 462
2.0,4.1,4.1,0.547, 0.453, 901
2.0,4.1,2.05,0.379, 0.621, 1617
2.0,4.3,8.6,0.719, 0.281, 424
2.0,4.3,4.3,0.548, 0.452, 829
2.0,4.3,2.15,0.381, 0.619, 1495
2.0,4.5,9.0,0.724, 0.276, 387
2.0,4.5,4.5,0.553, 0.447, 769
2.0,4.5,2.25,0.386, 0.614, 1377
2.0,4.7,9.4,0.724, 0.276, 370
2.0,4.7,4.7,0.558, 0.442, 681
2.0,4.7,2.35,0.388, 0.612, 1280
2.0,4.9,9.8,0.726, 0.274, 339
2.0,4.9,4.9,0.555, 0.445, 669
2.0,4.9,2.45,0.384, 0.616, 1192
2.5,0.5,1.0,0.656, 0.344, 2301
2.5,0.5,0.5,0.524, 0.476, 2301
2.5,0.5,0.25,0.418, 0.582, 2303
2.5,0.7,1.4,0.674, 0.326, 2299
2.5,0.7,0.7,0.524, 0.476, 2303
2.5,0.7,0.35,0.4, 0.6, 2303
2.5,0.9,1.8,0.673, 0.327, 2306
2.5,0.9,0.9,0.523, 0.477, 2304
2.5,0.9,0.45,0.386, 0.614, 2307
2.5,1.1,2.2,0.681, 0.319, 2256
2.5,1.1,1.1,0.528, 0.472, 2299
2.5,1.1,0.55,0.378, 0.622, 2307
2.5,1.3,2.6,0.696, 0.304, 2119
2.5,1.3,1.3,0.524, 0.476, 2290
2.5,1.3,0.65,0.377, 0.623, 2293
2.5,1.5,3.0,0.69, 0.31, 1971
2.5,1.5,1.5,0.52, 0.48, 2279
2.5,1.5,0.75,0.373, 0.627, 2285
2.5,1.7,3.4,0.69, 0.31, 1792
2.5,1.7,1.7,0.522, 0.478, 2270
2.5,1.7,0.85,0.371, 0.629, 2291
2.5,1.9,3.8,0.699, 0.301, 1600
2.5,1.9,1.9,0.525, 0.475, 2233
2.5,1.9,0.95,0.367, 0.633, 2273
2.5,2.1,4.2,0.702, 0.298, 1431
2.5,2.1,2.1,0.518, 0.482, 2186
2.5,2.1,1.05,0.355, 0.645, 2267
2.5,2.3,4.6,0.698, 0.302, 1280
2.5,2.3,2.3,0.524, 0.476, 2119
2.5,2.3,1.15,0.357, 0.643, 2236
2.5,2.5,5.0,0.697, 0.303, 1180
2.5,2.5,2.5,0.533, 0.467, 2074
2.5,2.5,1.25,0.364, 0.636, 2195
2.5,2.7,5.4,0.694, 0.306, 1079
2.5,2.7,2.7,0.533, 0.467, 1907
2.5,2.7,1.35,0.368, 0.632, 2103
2.5,2.9,5.8,0.701, 0.299, 895
2.5,2.9,2.9,0.54, 0.46, 1714
2.5,2.9,1.45,0.374, 0.626, 2039
2.5,3.1,6.2,0.703, 0.297, 805
2.5,3.1,3.1,0.539, 0.461, 1467
2.5,3.1,1.55,0.379, 0.621, 1936
2.5,3.3,6.6,0.702, 0.298, 715
2.5,3.3,3.3,0.543, 0.457, 1351
2.5,3.3,1.65,0.382, 0.618, 1823
2.5,3.5,7.0,0.706, 0.294, 620
2.5,3.5,3.5,0.543, 0.457, 1214
2.5,3.5,1.75,0.378, 0.622, 1719
2.5,3.7,7.4,0.706, 0.294, 575
2.5,3.7,3.7,0.546, 0.454, 1099
2.5,3.7,1.85,0.382, 0.618, 1625
2.5,3.9,7.8,0.71, 0.29, 531
2.5,3.9,3.9,0.542, 0.458, 1005
2.5,3.9,1.95,0.386, 0.614, 1547
2.5,4.1,8.2,0.714, 0.286, 462
2.5,4.1,4.1,0.547, 0.453, 898
2.5,4.1,2.05,0.383, 0.617, 1479
2.5,4.3,8.6,0.719, 0.281, 424
2.5,4.3,4.3,0.547, 0.453, 826
2.5,4.3,2.15,0.377, 0.623, 1377
2.5,4.5,9.0,0.724, 0.276, 387
2.5,4.5,4.5,0.553, 0.447, 772
2.5,4.5,2.25,0.379, 0.621, 1301
2.5,4.7,9.4,0.724, 0.276, 370
2.5,4.7,4.7,0.558, 0.442, 681
2.5,4.7,2.35,0.379, 0.621, 1226
2.5,4.9,9.8,0.726, 0.274, 339
2.5,4.9,4.9,0.555, 0.445, 669
2.5,4.9,2.45,0.384, 0.616, 1160
3.0,0.5,1.0,0.648, 0.352, 1598
3.0,0.5,0.5,0.513, 0.487, 1598
3.0,0.5,0.25,0.412, 0.588, 1598
3.0,0.7,1.4,0.668, 0.332, 1598
3.0,0.7,0.7,0.525, 0.475, 1598
3.0,0.7,0.35,0.399, 0.601, 1598
3.0,0.9,1.8,0.672, 0.328, 1599
3.0,0.9,0.9,0.517, 0.483, 1603
3.0,0.9,0.45,0.377, 0.623, 1603
3.0,1.1,2.2,0.687, 0.313, 1592
3.0,1.1,1.1,0.522, 0.478, 1601
3.0,1.1,0.55,0.368, 0.632, 1603
3.0,1.3,2.6,0.682, 0.318, 1593
3.0,1.3,1.3,0.512, 0.488, 1607
3.0,1.3,0.65,0.36, 0.64, 1609
3.0,1.5,3.0,0.698, 0.302, 1544
3.0,1.5,1.5,0.515, 0.485, 1615
3.0,1.5,0.75,0.36, 0.64, 1615
3.0,1.7,3.4,0.699, 0.301, 1476
3.0,1.7,1.7,0.528, 0.472, 1637
3.0,1.7,0.85,0.363, 0.637, 1613
3.0,1.9,3.8,0.703, 0.297, 1333
3.0,1.9,1.9,0.525, 0.475, 1637
3.0,1.9,0.95,0.354, 0.646, 1613
3.0,2.1,4.2,0.699, 0.301, 1217
3.0,2.1,2.1,0.53, 0.47, 1619
3.0,2.1,1.05,0.355, 0.645, 1602
3.0,2.3,4.6,0.696, 0.304, 1147
3.0,2.3,2.3,0.531, 0.469, 1614
3.0,2.3,1.15,0.354, 0.646, 1598
3.0,2.5,5.0,0.692, 0.308, 1076
3.0,2.5,2.5,0.534, 0.466, 1597
3.0,2.5,1.25,0.353, 0.647, 1618
3.0,2.7,5.4,0.696, 0.304, 984
3.0,2.7,2.7,0.541, 0.459, 1561
3.0,2.7,1.35,0.361, 0.639, 1621
3.0,2.9,5.8,0.703, 0.297, 874
3.0,2.9,2.9,0.543, 0.457, 1487
3.0,2.9,1.45,0.361, 0.639, 1589
3.0,3.1,6.2,0.7, 0.3, 783
3.0,3.1,3.1,0.54, 0.46, 1401
3.0,3.1,1.55,0.365, 0.635, 1577
3.0,3.3,6.6,0.701, 0.299, 713
3.0,3.3,3.3,0.541, 0.459, 1306
3.0,3.3,1.65,0.366, 0.634, 1518
3.0,3.5,7.0,0.705, 0.295, 623
3.0,3.5,3.5,0.54, 0.46, 1212
3.0,3.5,1.75,0.362, 0.638, 1452
3.0,3.7,7.4,0.708, 0.292, 562
3.0,3.7,3.7,0.546, 0.454, 1093
3.0,3.7,1.85,0.366, 0.634, 1395
3.0,3.9,7.8,0.711, 0.289, 526
3.0,3.9,3.9,0.543, 0.457, 1004
3.0,3.9,1.95,0.394, 0.606, 1351
3.0,4.1,8.2,0.714, 0.286, 462
3.0,4.1,4.1,0.547, 0.453, 888
3.0,4.1,2.05,0.394, 0.606, 1260
3.0,4.3,8.6,0.719, 0.281, 420
3.0,4.3,4.3,0.547, 0.453, 824
3.0,4.3,2.15,0.391, 0.609, 1200
3.0,4.5,9.0,0.724, 0.276, 387
3.0,4.5,4.5,0.553, 0.447, 769
3.0,4.5,2.25,0.386, 0.614, 1191
3.0,4.7,9.4,0.724, 0.276, 370
3.0,4.7,4.7,0.558, 0.442, 681
3.0,4.7,2.35,0.373, 0.627, 1113
3.0,4.9,9.8,0.726, 0.274, 339
3.0,4.9,4.9,0.555, 0.445, 669
3.0,4.9,2.45,0.378, 0.622, 1052
